slip,seed,task_id,task_type,method,success,steps,replans,why,shortest_in_model,learned_states
0.2,2303,40,branch,shortest,True,29,1,success,8,93
0.2,2303,40,branch,expected,True,29,1,success,8,93
0.2,2303,41,branch,linear,True,8,1,success,8,93
0.2,2303,41,branch,linear_empirical,True,8,1,success,8,93
0.2,2303,41,branch,shortest,True,8,1,success,8,93
0.2,2303,41,branch,expected,True,8,1,success,8,93
0.2,2303,42,branch,linear,True,8,1,success,7,93
0.2,2303,42,branch,linear_empirical,True,14,1,success,7,93
0.2,2303,42,branch,shortest,True,8,1,success,7,93
0.2,2303,42,branch,expected,True,8,1,success,7,93
0.2,2303,43,branch,linear,True,11,1,success,7,93
0.2,2303,43,branch,linear_empirical,True,7,1,success,7,93
0.2,2303,43,branch,shortest,True,11,1,success,7,93
0.2,2303,43,branch,expected,True,7,1,success,7,93
0.2,2303,44,branch,linear,True,14,1,success,11,93
0.2,2303,44,branch,linear_empirical,True,14,1,success,11,93
0.2,2303,44,branch,shortest,True,17,1,success,11,93
0.2,2303,44,branch,expected,True,14,1,success,11,93
0.2,2303,45,branch,linear,True,10,1,success,8,93
0.2,2303,45,branch,linear_empirical,True,10,1,success,8,93
0.2,2303,45,branch,shortest,True,10,1,success,8,93
0.2,2303,45,branch,expected,True,10,1,success,8,93
0.2,2404,0,sequence,linear,True,34,1,success,22,264
0.2,2404,0,sequence,linear_empirical,True,28,1,success,22,264
0.2,2404,0,sequence,shortest,True,26,1,success,22,264
0.2,2404,0,sequence,expected,True,45,1,success,22,264
0.2,2404,1,all_of,linear,True,28,1,success,18,264
0.2,2404,1,all_of,linear_empirical,True,37,1,success,18,264
0.2,2404,1,all_of,shortest,True,26,1,success,18,264
0.2,2404,1,all_of,expected,True,25,1,success,18,264
0.2,2404,2,condition_then,linear,True,13,1,success,11,264
0.2,2404,2,condition_then,linear_empirical,True,13,1,success,11,264
0.2,2404,2,condition_then,shortest,True,12,1,success,11,264
0.2,2404,2,condition_then,expected,True,12,1,success,11,264
0.2,2404,3,sequence,linear,True,25,1,success,21,264
0.2,2404,3,sequence,linear_empirical,True,25,1,success,21,264
0.2,2404,3,sequence,shortest,True,32,1,success,21,264
0.2,2404,3,sequence,expected,True,25,1,success,21,264
0.2,2404,4,all_of,linear,True,19,1,success,19,264
0.2,2404,4,all_of,linear_empirical,True,19,1,success,19,264
0.2,2404,4,all_of,shortest,True,21,1,success,19,264
0.2,2404,4,all_of,expected,True,21,1,success,19,264
0.2,2404,5,condition_then,linear,True,12,1,success,12,264
0.2,2404,5,condition_then,linear_empirical,True,12,1,success,12,264
0.2,2404,5,condition_then,shortest,True,12,1,success,12,264
0.2,2404,5,condition_then,expected,True,12,1,success,12,264
0.2,2404,6,sequence,linear,True,33,1,success,21,264
0.2,2404,6,sequence,linear_empirical,True,33,1,success,21,264
0.2,2404,6,sequence,shortest,True,33,1,success,21,264
0.2,2404,6,sequence,expected,True,33,1,success,21,264
0.2,2404,7,all_of,linear,True,33,1,success,21,264
0.2,2404,7,all_of,linear_empirical,True,33,1,success,21,264
0.2,2404,7,all_of,shortest,True,32,1,success,21,264
0.2,2404,7,all_of,expected,True,33,1,success,21,264
0.2,2404,8,condition_then,linear,True,10,1,success,10,264
0.2,2404,8,condition_then,linear_empirical,True,10,1,success,10,264
0.2,2404,8,condition_then,shortest,True,10,1,success,10,264
0.2,2404,8,condition_then,expected,True,10,1,success,10,264
0.2,2404,9,sequence,linear,True,29,1,success,27,264
0.2,2404,9,sequence,linear_empirical,True,29,1,success,27,264
0.2,2404,9,sequence,shortest,True,33,1,success,27,264
0.2,2404,9,sequence,expected,True,29,1,success,27,264
0.2,2404,10,all_of,linear,True,34,1,success,23,264
0.2,2404,10,all_of,linear_empirical,True,34,1,success,23,264
0.2,2404,10,all_of,shortest,True,34,1,success,23,264
0.2,2404,10,all_of,expected,True,35,1,success,23,264
0.2,2404,11,condition_then,linear,True,12,1,success,12,264
0.2,2404,11,condition_then,linear_empirical,True,12,1,success,12,264
0.2,2404,11,condition_then,shortest,True,21,1,success,12,264
0.2,2404,11,condition_then,expected,True,18,1,success,12,264
0.2,2404,12,sequence,linear,True,20,1,success,18,264
0.2,2404,12,sequence,linear_empirical,True,18,1,success,18,264
0.2,2404,12,sequence,shortest,True,20,1,success,18,264
0.2,2404,12,sequence,expected,True,18,1,success,18,264
0.2,2404,13,all_of,linear,True,27,1,success,18,264
0.2,2404,13,all_of,linear_empirical,True,27,1,success,18,264
0.2,2404,13,all_of,shortest,True,27,1,success,18,264
0.2,2404,13,all_of,expected,True,27,1,success,18,264
0.2,2404,14,condition_then,linear,True,12,1,success,10,264
0.2,2404,14,condition_then,linear_empirical,True,12,1,success,10,264
0.2,2404,14,condition_then,shortest,True,12,1,success,10,264
0.2,2404,14,condition_then,expected,True,12,1,success,10,264
0.2,2404,15,sequence,linear,True,32,1,success,23,264
0.2,2404,15,sequence,linear_empirical,True,32,1,success,23,264
0.2,2404,15,sequence,shortest,True,25,1,success,23,264
0.2,2404,15,sequence,expected,True,40,1,success,23,264
0.2,2404,16,all_of,linear,True,24,1,success,17,264
0.2,2404,16,all_of,linear_empirical,True,24,1,success,17,264
0.2,2404,16,all_of,shortest,True,28,1,success,17,264
0.2,2404,16,all_of,expected,True,28,1,success,17,264
0.2,2404,17,condition_then,linear,True,7,1,success,7,264
